normalized_reviews,predicted_rating
"['phone', 'start', 'realize', 'good', 'useful', 'recent', 'mobile', 'devices', 'become', 'say', 'phone', 'perfect', 'gpu', 'powerful', 'enougth', 'run', 'modern', 'game', 'apps', 'nitpick', 'find', 'good', 'keyboard', 'app']",1
"['technology', 'savvy', 'girl', 'use', 'apple', 'phone', 'finally', 'think', 'move', 'new', 'phone', 'search', 'online', 'read', 'review', 'decide', 'samsung', 'note', 'things', 'check', 'list', 'need', 'phone', 'data', 'enable']",1
"['quiet', 'great', 'smartphone', 'market', 'good', 'quality', 'screen', 'resolution', 'video', 'quality', 'better', 'phone', 'screen', 'size', 'quite', 'larger', 'difficult', 'carry', 'excite', 'feature', 'phone', 'battery', 'long', 'life', 'battery', 'life', 'make']",1
"['one', 'best', 'phone', 'ever', 'use', 'come', 'expect', 'big', 'difference', 'big', 'surprise', 'gorgeous', 'qhd', 'screen', 'premium', 'design', 'metal', 'frame', 'mpx', 'ois', 'camera', 'video', 'record', 'really', 'fast', 'charge', 'huge', 'improvement', 'multitasking', 'update']",1
"['purchase', 'phone', 'straight', 'samsung', 'note', 'happier', 'decision', 'design', 'durability', 'feel', 'phone', 'great', 'surprisingly', 'light', 'compare', 'phone', 'screen', 'size', 'inch']",1
"['superphone', 'make', 'samsung', 'feel', 'real', 'bar', 'absolutely', 'great', 'things', 'specially', 'version', 'octa', 'core', 'chip', 'great', 'battary', 'life', 'amzing', 'screen', 'depth']",1
"['every', 'thing', 'absolutely', 'superb', 'except', 'battery', 'life']",1
"['opinion', 'samsung', 'galaxy', 'note', 'mobile', 'phone', 'good', 'phone', 'use', 'phone', 'since', 'months', 'issue', 'drop', 'multiple', 'time', 'crack', 'break', 'even', 'leave', 'scratch', 'speakers', 'loud', 'hear', 'way', 'home']",1
"['phone', 'display', 'literally', 'good', 'thing', 'phone', 'incredibly', 'slow', 'bloat', 'wear', 'touchwiz', 'disaster', 'save', 'buy', 'phone', 'sell', 'three', 'weeks', 'like']",0
"['full', 'review', 'disclaimer', 'yes', 'make', 'call', 'smartphone', 'tablet', 'hybrid', 'look', 'feel', 'durability', 'etc', 'handset', 'may', 'large', 'users', 'due', 'tablet', 'crossover', 'nature', 'device']",1
"['second', 'samsung', 'first', 'note', 'one', 'like', 'change', 'brand', 'familiar', 'buy', 'due', 'heat', 'problem', 'old', 'phone', 'bad', 'long', 'time', 'usage']",1
"['suddenly', 'almost', 'months', 'awful', 'battery', 'work', 'several', 'hours', 'photos', 'look', 'like', 'sharpen', 'much', 'program', 'useless', 'internet', 'applications', 'like', 'chrome', 'build', 'one', 'buggy', 'laggy', 'definitely', 'recover', 'buiyng']",0
"['totaly', 'satisfy', 'note', 'upgrade', 'latest', 'software', 'version', 'since', 'lag', 'sometimes', 'randomly', 'losts', 'internet', 'connection', 'buy', 'one', 'recommend', 'wait', 'next', 'version', 'upgrade']",1
"['galaxy', 'note', 'months', 'phone', 'never', 'cease', 'amaze', 'opinion', 'would', 'take', 'phone', 'iphone', 'key', 'reason', 'one', 'major', 'reason', 'expandable', 'memory', 'almost', 'need', 'user', 'would', 'like', 'music', 'library', 'movie', 'collection']",0
"['own', 'phone', 'months', 'would', 'say', 'flawless', 'superb', 'mobile', 'experience', 'however', 'mine', 'die', 'literally', 'battery', 'issue', 'unfortunately', 'samsung', 'ones']",1
